location,present_name,borough,name,desc
"Both sides of the street, from 156th Street to 159th Street",Third Avenue,Bronx,Yolanda Garcia Way," Yolanda Garcia was 53 when she died in February 2005.  She was one of the founders of Nos Quedamos/We Stay, a community group that worked to prevent evictions of people who lived and worked in her Melrose neighborhood.  "
At the intersection of Ogden Avenue and East 162nd Street,None,Bronx,Yomo Toro Place," Yomo Toro (1933-2012) was a virtuoso on the cuatro, a Puerto Rican stringed instrument, and an influential member of New York’s Latin music scene from the 1950s on."
Intersection of Castle Hill Road and Watson Avenue,none,Bronx,Yvette Nicole Moreno Place," Yvette Nicole Moreno (b. 1976) worked at Carr Futures in the World Trade Center.  She was killed in the terrorist attack of September 11, 2001."
East 159th Street and East 161st Street,Washington Avenue,Bronx,Way of the Finest," This designation honors all police officers, past and future, who give their lives in the line of duty during service with the 42nd Precinct.  "
Between East 197th Street and East 198th Street,Pond Place,Bronx,William Valcarcel Place," William Valcarcel (b. 1946) worked for the New York State Department of Taxation and Finance at the World Trade Center. He was killed in the terrorist attack of September 11, 2001. He was killed in the terrorist attack of September 11, 2001."
Intersection of 156th Street and Courtlandt Avenue,None,Bronx,Sergeant Jose Velez Avenue," Sergeant Jose Velez (1970-2006), a truck driver,  joined the Army Reserve in 2004.  He was killed in the line of duty in Kirkuk, Iraq when an explosive device detonated near his vehicle."
Between Hammersley Avenue and Adee Avenue,Ely Avenue,Bronx,Sergeant Keith A. Ferguson Way,"  Keith A. Ferguson (1965-2004) served with the New York City Police Department for 17 years.  He was on patrol in lower Manhattan as part of the NYPD anti-terrorism unit when he heard a foot patrol officer calling for assistance in chasing a suspect.  While running to assist the officer in the chase, Sergeant Ferguson suffered a heart attack and died.  In June 2005, he was posthumously awarded the New York City Police Department's Purple Shield Medal (King)"
Between Longwood Avenue and Barretto Street,Southern Boulevard,Bronx,"Sister Thomas, S.C Way"," Sister Miriam Thomas (1933-2014) joined the Sisters of Charity in 1951 and began teaching in Longwood’s Saint Athanasius Parish in 1967.   In 1968, she co-founded the South East Bronx Community Organization which would later build a 105-unit affordable housing development.  From 1972 to 2004 she worked as the administrator of the multi-service Simpson Street Development Association, an organization servicing the youth and families.  She was also involved with the South East Bronx Community Association which helped rebuild residential parts of Hunts Point and Longwood which were devastated during the late 1960’s and 1970’s by arson  (Arroyo)"
Third Avenue and East 168th Street,Franklin Avenue,Bronx,St. Augustine Way," The designation honers the 150th anniversary of St. Augustine Catholic Church, at 1183 Franklin Avenue, the oldest Catholic Church in the Bronx. It was built in 1849 by mostly German and Irish immigrants"
Between Bedford Park Boulevard and East 204th Street,Villa Avenue,Bronx,St. Philip Neri Way," Honors the Church of St. Philip Neri, founded in 1898, and the St. Philip Neri Roman Catholic School, opened in 1913.  "
Between Randall Avenue and Lafayette Avenue,Stickball Boulevard a/k/a Newman Avenue,Bronx,Steve Mercado Stickball Boulevard," Steve Mercado (b. 1963-2001) was one of 342 members of the FDNY who died on September 11, 2001 at the World Trade Center.  He was widely known for his efforts to promote stickball as a sport, establishing leagues in the Bronx and across the country.  He also served on Community Board 9 and coached at the Bronx YMCA. ="
Between Bronx Park Avenue and Devoe Avenue,East 180th Street,Bronx,Supervising Fire Dispatcher Dennis Patrick O’ Connell Place," Dennis Patrick O’ Connell (1952-2008), at age 11 became president of FDNY Explorer Post 588 and rode with Engine 88 during the “Bronx is Burning Years.”  In 1973, he joined the FDNY as a Fire Alarm Dispatcher and contributed to saving many lives over the next 37 years.  He was also a bagpiper in the FDNY Emerald Society Pipes and Drum Band and a Den Leader for Cub/Boy Scouts Troop 211."
Playground adjacent to P.S. 106 and bounded by Purdy and Odell Streets and St. Raymond Avenue. ,Odell Playground,Bronx,Susan Caserta Playground," Susan Caserta (nee Boyarsky), born in Manhattan in 1939, was the mother of three children who attended PS 106 and JHS 127 in the Bronx.  She spent 20 years in service to these schools and the surrounding community.  She was an active member and president of the P.S. 106 Parents Association; a Girl Scout leader; and coached and managed the Parkchester Little League girls' softball team.  Ms. Caserta died of lung cancer in 1994."
Rev. James A. Polite Avenue and Intervale Avenue,East 167th Street,Bronx,Veralyne H. Hamilton Place," Veralyne Holmes Hamilton (1934-1996), after serving on the Bronx Model Cities Policies Committee, returned to college and earned a B.A. and a Masters of Urban Planning degree from Hunter College.  She served on Community Board 3, where she became Chairperson and later District Manager. "
Between East 181st Street and East 182nd Street,Clinton Avenue,Bronx,Vincent Jackson Way, Vincent Jackson was a sergeant in the NYC Health and Hospital Corporation hospital police when he retired in 1992.  He went on to become an advocate for housing and social programs that would improve the lives of members of his community.  
